1	Automotive_technologies	World Motorcycle Test Cycle	48	The World Motorcycle Test Cycle (WMTC) is a system of driving cycles used to measure fuel consumption and emissions in motorcycles. The methods are stipulated as part of the Global Technical Regulation established under the United Nations’ World Forum for Harmonisation of Vehicle Regulations, also known as WP.29.
2	Automotive_technologies	World car	116	The phrase world car is an engineering strategy used to describe an automobile designed to suit the needs of global automotive markets with minimal changes in each market it is sold in. The goal of a world car program is to save costs and increase quality by standardizing parts and design for a single vehicle in a certain class, in hopes of using the cost savings to deliver a superior product that satisfies expectations for quality, appeal and performance of automobile buyers worldwide. Examples include the Ford Mondeo and Focus, modern no-frills cars such as the Fiat Palio, Dacia Logan and VW Fox along with luxury cars such as the BMW 3 Series and Lexus LS.
3	Automotive_technologies	Window deflector	42	A window deflector is mounted above the doors of some automobiles, to protect the inside of the car from rain or other precipitation in case of slightly opened windows. Deflectors may also be fitted to sunroofs to change the flow of air.
4	Automotive_technologies	Wheel sizing	15	The wheel size for a motor vehicle or similar wheel has a number of parameters.
5	Automotive_technologies	Weymann Fabric Bodies	60	Weymann Fabric Bodies is a patented design system for fuselages for aircraft and superlight coachwork for motor vehicles. The system used a patent-jointed wood frame covered in fabric. It was popular on cars from the 1920s until the early 1930s as it reduced the usual squeaks and rattles of coachbuilt bodies by its use of flexible joints between body timbers.
6	Automotive_technologies	Weather Eye	57	The Weather Eye was a trade name for a Nash Motors-designed fresh-air system for automobile passenger compartment heating, cooling, and ventilating. The Nash "All-Weather Eye" was the first automobile air conditioning system for the mass market. The use of the Weather Eye name for automobile passenger heating and air conditioning systems continued in American Motors (AMC) vehicles.
7	Automotive_technologies	VisLab Intercontinental Autonomous Challenge	53	VIAC, the VisLab Intercontinental Autonomous Challenge, is the challenge conceived by VisLab as an extreme test of autonomous vehicles. It ran from July 20, 2010 to October 28, 2010, involving four driverless vehicles driving with virtually no human intervention on an almost 16,000 kilometres (9,900 mi) trip from Parma, Italy to Shanghai, China.
8	Automotive_technologies	VisLab	57	VisLab is an Italian company working on computer vision and environmental perception for vehicular applications. It was founded in the early 90s as a research laboratory of University of Parma, Dipartimento di Ingegneria dell'Informazione. It started its activities in 1990, with its involvement within the Eureka PROMETHEUS Project. Since then the research group focused on vehicular applications.
9	Automotive_technologies	Vehicle-to-grid	81	Vehicle-to-grid (V2G) describes a system in which plug-in electric vehicles, such as battery electric vehicles (BEV), plug-in hybrids (PHEV) or hydrogen fuel cell electric vehicles (FCEV), communicate with the power grid to sell demand response services by either returning electricity to the grid or by throttling their charging rate. V2G storage capabilities can enable EVs to store and discharge electricity generated from renewable energy sources such as solar and wind, with output that fluctuates depending on weather and time of day.
10	Automotive_technologies	Vehicle infrastructure integration	109	Vehicle Infrastructure Integration (VII) is an initiative fostering research and applications development for a series of technologies directly linking road vehicles to their physical surroundings, first and foremost in order to improve road safety. The technology draws on several disciplines, including transport engineering, electrical engineering, automotive engineering, and computer science. VII specifically covers road transport although similar technologies are in place or under development for other modes of transport. Planes, for example, use ground-based beacons for automated guidance, allowing the autopilot to fly the plane without human intervention. In highway engineering, improving the safety of a roadway can enhance overall efficiency. VII targets improvements in both safety and efficiency.
11	Automotive_technologies	Vehicle identification number	37	A vehicle identification number (VIN) is a unique code, including a serial number, used by the automotive industry to identify individual motor vehicles, towed vehicles, motorcycles, scooters and mopeds, as defined in ISO 3779 and ISO 4030.
12	Automotive_technologies	Vehicle frame	31	A vehicle frame, also known as its chassis, is the main supporting structure of a motor vehicle, to which all other components are attached, comparable to the skeleton of an organism.
13	Automotive_technologies	Vehicle dynamics	24	For vehicles such as cars, vehicle dynamics is the study of how the vehicle will react to driver inputs on a given solid surface.
14	Automotive_technologies	Vehicle audio	88	Vehicle audio is equipment installed in a car or other vehicle to provide in-car entertainment and information for the vehicle occupants. Until the 1950s it consisted of a simple AM radio. Additions since then have included FM radio (1952), 8-track tape players, cassette players, record players, CD players (1984), DVD players, Blu-ray players, navigation systems, Bluetooth telephone integration, and smartphone controllers like CarPlay and Android Auto. Once controlled from the dashboard with a few buttons, they can now be controlled by steering wheel controls and voice commands.
15	Automotive_technologies	Variable reluctance sensor	31	A variable reluctance sensor is a transducer that measures changes in magnetic reluctance. When combined with basic electronic circuitry, the sensor detects the change in presence or proximity of ferrous objects.
16	Automotive_technologies	Vacuum delay valve	35	A vacuum delay valve is a valve with a small orifice, which delays a vacuum signal. These are commonly used in automobiles to alter the behavior of vacuum switches, vacuum motors, and other vacuum devices.
17	Automotive_technologies	UW Hybrid Vehicle Team	24	The Wisconsin Hybrid Vehicle Team consists mainly of undergraduate students from the University of Wisconsin–Madison who work together to build a hybrid electric vehicle.
18	Automotive_technologies	Unified Diagnostic Services	101	Unified Diagnostic Services (UDS) is a diagnostic communication protocol in the electronic control unit (ECU) environment within the automotive electronics, which is specified in the ISO 14229-1. It is derived from ISO 14230-3 (KWP2000) and ISO 15765-3. Unified in this context means that it is an international and not a company-specific standard. By now this communication protocol is used in almost all new ECUs made by Tier 1 suppliers of Original Equipment Manufacturer (OEM). These ECUs control a wide range of functions in vehicles including electronic fuel injection (EFI), engine control, the transmission, anti-lock braking system, door locks, braking, and more.
19	Automotive_technologies	Underseal	33	Underseal is a thick resilient coating applied to the underbody or chassis of an automobile to protect against impact damage from small stones, which would rapidly chip ordinary paint, allowing rusting to begin.
